id,name,surname,party,area,house
274886,AIELLO Pietro,AIELLO,Area Popolare (NCD-UDC),Calabria,Senate
685864,Airola Alberto,Airola,Movimento 5 stelle,Piemonte,Senate
341191,Albano Donatella,Albano,Partito Democratico,Liguria,Senate
2,ALBERTINI Gabriele,ALBERTINI,Area Popolare (NCD-UDC),Lombardia,Senate
332966,ALICATA Bruno,ALICATA,Popolo della Libertà,Sicilia,Senate
1454,AMATI Silvana,AMATI,Partito Democratico,Marche,Senate
8407,AMIDEI Bartolomeo,AMIDEI,Popolo della Libertà,Veneto,Senate
175,AMORUSO Francesco Maria,AMORUSO,Popolo della Libertà,Puglia,Senate
687154,Angioni Ignazio,Angioni,Partito Democratico,Sardegna,Senate
687012,Anitori Fabiola,Anitori,Area Popolare (NCD-UDC),Lazio,Senate
274860,ARACRI Francesco,ARACRI,Popolo della Libertà,Lazio,Senate
9339,ARRIGONI Paolo,ARRIGONI,Lega Nord e autonomie,Lombardia,Senate
124789,ASTORRE Bruno,ASTORRE,Partito Democratico,Lazio,Senate
1460,AUGELLO Andrea,AUGELLO,Area Popolare (NCD-UDC),Lazio,Senate
79566,AURICCHIO Domenico,AURICCHIO,Popolo della Libertà,Campania,Senate
1461,AZZOLLINI Antonio,AZZOLLINI,Area Popolare (NCD-UDC),Puglia,Senate
192,BARANI Lucio,BARANI,Grandi autonomie e libertà,Lombardia,Senate
685753,Barozzino Giovanni,Barozzino,Gruppo Misto,Basilicata,Senate
686927,Battista Lorenzo,Battista,Gruppo per le autonomie-Psi,Friuli-Venezia Giulia,Senate
434820,Bellot Raffaela,Bellot,Lega Nord e autonomie,Veneto,Senate
686973,Bencini Alessandra,Bencini,Gruppo Misto,Toscana,Senate
6440,BERGER Johann Karl,BERGER,Gruppo per le autonomie-Psi,Trentino-Alto Adige,Senate
332681,BERNINI Anna Maria,BERNINI,Popolo della Libertà,Emilia-Romagna,Senate
330321,BERTACCO Stefano,BERTACCO,Popolo della Libertà,Veneto,Senate
687122,Bertorotta Ornella,Bertorotta,Movimento 5 stelle,Sicilia,Senate
240830,BERTUZZI Maria Teresa,BERTUZZI,Partito Democratico,Emilia-Romagna,Senate
687124,Bianco Amedeo,Bianco,Partito Democratico,Sicilia,Senate
1482,BIANCONI Laura,BIANCONI,Area Popolare (NCD-UDC),Emilia-Romagna,Senate
686838,Bignami Laura,Bignami,Gruppo Misto,Lombardia,Senate
121829,BILARDI Giovanni Emanuele,BILARDI,Area Popolare (NCD-UDC),Calabria,Senate
570842,BISINELLA Patrizia,BISINELLA,Lega Nord e autonomie,Veneto,Senate
685699,Blundo Rosetta Enza,Blundo,Movimento 5 stelle,Abruzzo,Senate
687663,Bocca Bernabò,Bocca,Popolo della Libertà,Friuli-Venezia Giulia,Senate
687126,Bocchino Fabrizio,Bocchino,Gruppo Misto,Sicilia,Senate
225,BONAIUTI Paolo,BONAIUTI,Area Popolare (NCD-UDC),Lombardia,Senate
226,BONDI Sandro,BONDI,Popolo della Libertà,Lombardia,Senate
1490,BONFRISCO Anna Cinzia,BONFRISCO,Popolo della Libertà,Veneto,Senate
4475,BORIOLI Daniele Gaetano,BORIOLI,Partito Democratico,Piemonte,Senate
686975,Bottici Laura,Bottici,Movimento 5 stelle,Toscana,Senate
27997,BROGLIA Claudio,BROGLIA,Partito Democratico,Emilia-Romagna,Senate
7265,BRUNI Francesco,BRUNI,Popolo della Libertà,Puglia,Senate
244,BRUNO Donato,BRUNO,Popolo della Libertà,Puglia,Senate
1498,BUBBICO Filippo,BUBBICO,Partito Democratico,Basilicata,Senate
687085,Buccarella Maurizio,Buccarella,Movimento 5 stelle,Puglia,Senate
248,BUEMI Enrico,BUEMI,Gruppo per le autonomie-Psi,Piemonte,Senate
686949,Bulgarelli Elisa,Bulgarelli,Movimento 5 stelle,Emilia-Romagna,Senate
1506,CALDEROLI Roberto,CALDEROLI,Lega Nord e autonomie,Lombardia,Senate
249123,CALEO Massimo,CALEO,Partito Democratico,Liguria,Senate
333020,CALIENDO Giacomo,CALIENDO,Popolo della Libertà,Lombardia,Senate
687128,Campanella Francesco,Campanella,Gruppo Misto,Sicilia,Senate
170714,CANDIANI Stefano,CANDIANI,Lega Nord e autonomie,Lombardia,Senate
241319,CANTINI Laura,CANTINI,Partito Democratico,Toscana,Senate
685908,Capacchione Rosaria,Capacchione,Partito Democratico,Campania,Senate
686907,Cappelletti Enrico,Cappelletti,Movimento 5 stelle,Veneto,Senate
503343,CARDIELLO Franco,CARDIELLO,Popolo della Libertà,Campania,Senate
497262,Cardinali Valeria,Cardinali,Partito Democratico,Umbria,Senate
121854,CARIDI Antonio Stefano,CARIDI,Grandi autonomie e libertà,Calabria,Senate
621567,CARRARO Franco,CARRARO,Popolo della Libertà,Emilia-Romagna,Senate
