name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id,constituency_id
Zahidi Zainul Abidin,Perlis,Padang Besar,http://en.wikipedia.org/wiki/Zahidi_Zainul_Abidin,UMNO,United Malays National Organisation,13,"","Padang Besar, Perlis",Barisan Nasional,BN,P001
Shaharuddin Ismail,Perlis,Kangar,http://en.wikipedia.org/wiki/Shaharuddin_Ismail,UMNO,United Malays National Organisation,13,"","Kangar, Perlis",Barisan Nasional,BN,P002
Shahidan Kassim,Perlis,Arau,http://en.wikipedia.org/wiki/Shahidan_Kassim,UMNO,United Malays National Organisation,13,"","Arau, Perlis",Barisan Nasional,BN,P003
Nawawi Ahmad,Kedah,Langkawi,http://en.wikipedia.org/wiki/Nawawi_Ahmad,UMNO,United Malays National Organisation,13,"","Langkawi, Kedah",Barisan Nasional,BN,P004
Othman Aziz,Kedah,Jerlun,http://en.wikipedia.org/wiki/Othman_Aziz,UMNO,United Malays National Organisation,13,"","Jerlun, Kedah",Barisan Nasional,BN,P005
Mohd Johari Baharum,Kedah,Kubang Pasu,http://en.wikipedia.org/wiki/Mohd_Johari_Baharum,UMNO,United Malays National Organisation,13,"","Kubang Pasu, Kedah",Barisan Nasional,BN,P006
Mahdzir Khalid,Kedah,Padang Terap,http://en.wikipedia.org/wiki/Mahdzir_Khalid,UMNO,United Malays National Organisation,13,"","Padang Terap, Kedah",Barisan Nasional,BN,P007
Mahfuz Omar,Kedah,Pokok Sena,http://en.wikipedia.org/wiki/Mahfuz_Omar,PAS,Pan-Malaysian Islamic Party,13,"","Pokok Sena, Kedah",,,P008
Gooi Hsiao Leung,Kedah,Alor Setar,http://en.wikipedia.org/wiki/Gooi_Hsiao_Leung,PKR,People's Justice Party,13,"","Alor Setar, Kedah",,,P009
Azman Ismail,Kedah,Kuala Kedah,http://en.wikipedia.org/wiki/Azman_Ismail,PKR,People's Justice Party,13,"","Kuala Kedah, Kedah",,,P010
Othman Abdul,Kedah,Pendang,http://en.wikipedia.org/wiki/Othman_Abdul,UMNO,United Malays National Organisation,13,"","Pendang, Kedah",Barisan Nasional,BN,P011
Jamil Khir Baharom,Kedah,Jerai,http://en.wikipedia.org/wiki/Jamil_Khir_Baharom,UMNO,United Malays National Organisation,13,"","Jerai, Kedah",Barisan Nasional,BN,P012
Mansor Abd Rahman,Kedah,Sik,http://en.wikipedia.org/wiki/Mansor_Abd_Rahman,UMNO,United Malays National Organisation,13,"","Sik, Kedah",Barisan Nasional,BN,P013
Ismail Daut,Kedah,Merbok,http://en.wikipedia.org/wiki/Ismail_Daut,UMNO,United Malays National Organisation,13,"","Merbok, Kedah",Barisan Nasional,BN,P014
Johari Abdul,Kedah,Sungai Petani,http://en.wikipedia.org/wiki/Johari_Abdul,PKR,People's Justice Party,13,"","Sungai Petani, Kedah",,,P015
Abdul Azeez Abdul Rahim,Kedah,Baling,http://en.wikipedia.org/wiki/Abdul_Azeez_Abdul_Rahim,UMNO,United Malays National Organisation,13,"","Baling, Kedah",Barisan Nasional,BN,P016
