name,img,faction,area,email,id,start_date,end_date,term
Arto Aas,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=fe748f4d-3f50-4af8-8069-92a460978d2b,Eesti Reformierakonna fraktsioon,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",Arto.Aas@riigikogu.ee,fe748f4d-3f50-4af8-8069-92a460978d2b,,,Riigikogu XII
Jaak Aaviksoo,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=13938f95-f891-4607-a67e-d11a65dc79a3,Isamaa ja Res Publica Liidu fraktsioon,"Võru-, Valga- ja Põlvamaa ",Jaak.Aaviksoo@riigikogu.ee,13938f95-f891-4607-a67e-d11a65dc79a3,,,Riigikogu XII
Rein Aidma,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=b762b17f-2fe0-4b51-bd15-6922d2a1e387,Eesti Reformierakonna fraktsioon,Ida-Virumaa ,Rein.Aidma@riigikogu.ee,b762b17f-2fe0-4b51-bd15-6922d2a1e387,2011-04-02,,Riigikogu XII
Annely Akkermann,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=7655e8d3-b658-49f0-8e09-f6cbc4a2c714,Isamaa ja Res Publica Liidu fraktsioon,Pärnumaa ,Annely.Akkermann@riigikogu.ee,7655e8d3-b658-49f0-8e09-f6cbc4a2c714,,,Riigikogu XII
Jaak Allik,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=90448362-e56d-4be7-ae10-a5a62c3d2a78,Sotsiaaldemokraatliku Erakonna fraktsioon,Ida-Virumaa ,Jaak.Allik@riigikogu.ee,90448362-e56d-4be7-ae10-a5a62c3d2a78,,,Riigikogu XII
Peep Aru,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=13ae3199-f2e4-4b49-a73b-f2880451da33,Eesti Reformierakonna fraktsioon,Järva- ja Viljandimaa ,Peep.Aru@riigikogu.ee,13ae3199-f2e4-4b49-a73b-f2880451da33,,,Riigikogu XII
Maimu Berg,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=b461b3d0-afad-404c-bf5d-f8e52069a732,Sotsiaaldemokraatliku Erakonna fraktsioon,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",Maimu.Berg@riigikogu.ee,b461b3d0-afad-404c-bf5d-f8e52069a732,,,Riigikogu XII
Deniss Boroditš,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=5c9c68d8-7b18-4f3e-901a-afc9970cdd97,Fraktsiooni mittekuuluvad Riigikogu liikmed,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Deniss.Borodits@riigikogu.ee,5c9c68d8-7b18-4f3e-901a-afc9970cdd97,,,Riigikogu XII
Enn Eesmaa,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=07132cc4-5afc-4edb-9537-7c721ec39b2d,Eesti Keskerakonna fraktsioon,Järva- ja Viljandimaa ,Enn.Eesmaa@riigikogu.ee,07132cc4-5afc-4edb-9537-7c721ec39b2d,,,Riigikogu XII
Eldar Efendijev,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=c4247317-df67-4e6d-9f7f-cb8bdb4caf66,Eesti Keskerakonna fraktsioon,Ida-Virumaa ,Eldar.Efendijev@riigikogu.ee,c4247317-df67-4e6d-9f7f-cb8bdb4caf66,,,Riigikogu XII
Ene Ergma,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=aafd99de-e3b0-4c44-923e-30fa30c80bc0,Isamaa ja Res Publica Liidu fraktsioon,Jõgeva- ja Tartumaa (v.a Tartu linn) ,Ene.Ergma@riigikogu.ee,aafd99de-e3b0-4c44-923e-30fa30c80bc0,,,Riigikogu XII
Igor Gräzin,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=5958ba28-6672-426f-b533-bea2f9c8d64e,Eesti Reformierakonna fraktsioon,Jõgeva- ja Tartumaa (v.a Tartu linn) ,Igor.Grazin@riigikogu.ee,5958ba28-6672-426f-b533-bea2f9c8d64e,,,Riigikogu XII
Margus Hanson,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=ed1ebc17-64ff-469c-8bba-9088cd751da0,Eesti Reformierakonna fraktsioon,Tartu linn ,Margus.Hanson@riigikogu.ee,ed1ebc17-64ff-469c-8bba-9088cd751da0,,,Riigikogu XII
